Year,LocationAbbr,LocationDesc,DataSource,Category,Indicator,Response,Data_Value_Unit,Data_Value_Type,Data_Value,Data_Value_Alt,Data_Value_Footnote_Symbol,Data_Value_Footnote,Low_Confidence_Limit,High_Confidence_Limit,Number,WeightedNumber,StratificationCategory1,Stratification1,StratificationCategory2,Stratification2,CategoryID,IndicatorID,LocationID,ResponseID,DataValueTypeID,StratificationCategoryID1,StratificationID1,StratificationCategoryID2,StratificationID2
2020,HI,Hawaii,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by veteran status,Veteran,%,Age-adjusted Prevalence,8.9,8.9,,,6.9,11.3,158,20925,Disability Type,Hearing Disability,,,DISEST,VETIND,15,VET1,AGEADJPREV,DISTYPE,HEARDIS,,
2020,OH,Ohio,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by veteran status,Veteran,%,Age-adjusted Prevalence,11.9,11.9,,,9.9,14.2,365,158777,Disability Type,Mobility Disability,,,DISEST,VETIND,39,VET1,AGEADJPREV,DISTYPE,MOBDIS,,
2020,WV,West Virginia,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by veteran status,Veteran,%,Age-adjusted Prevalence,33.4,33.4,,,28.1,39.1,348,73287,Disability Status,Any Disability,,,DISEST,VETIND,54,VET1,AGEADJPREV,DISSTAT,DISABL,,
2020,ME,Maine,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by veteran status,Non-Veteran,%,Age-adjusted Prevalence,4.2,4.2,,,3.6,5.0,483,42424,Disability Type,Vision Disability,,,DISEST,VETIND,23,VET2,AGEADJPREV,DISTYPE,VISDIS,,
2020,MI,Michigan,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by veteran status,Non-Veteran,%,Age-adjusted Prevalence,3.4,3.4,,,2.9,4.1,242,259481,Disability Type,Vision Disability,,,DISEST,VETIND,26,VET2,AGEADJPREV,DISTYPE,VISDIS,,
2020,OH,Ohio,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by veteran status,Veteran,%,Age-adjusted Prevalence,12.3,12.3,,,9.4,16.1,172,89980,Disability Type,Cognitive Disability,,,DISEST,VETIND,39,VET1,AGEADJPREV,DISTYPE,COGDIS,,
2020,TX,Texas,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by veteran status,Non-Veteran,%,Age-adjusted Prevalence,74.9,74.9,,,73.1,76.6,6176,13660252,Disability Status,No Disability,,,DISEST,VETIND,48,VET2,AGEADJPREV,DISSTAT,NODIS,,
2020,NH,New Hampshire,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by veteran status,Veteran,%,Age-adjusted Prevalence,,,*,Data suppressed,,,,,Disability Type,Self-care Disability,,,DISEST,VETIND,33,VET1,AGEADJPREV,DISTYPE,SELFDIS,,
2020,LA,Louisiana,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by veteran status,Veteran,%,Age-adjusted Prevalence,64.9,64.9,,,57.6,71.5,323,203697,Disability Status,No Disability,,,DISEST,VETIND,22,VET1,AGEADJPREV,DISSTAT,NODIS,,
2020,AL,Alabama,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by veteran status,Veteran,%,Age-adjusted Prevalence,6.5,6.5,,,4.1,10.2,48,31424,Disability Type,Self-care Disability,,,DISEST,VETIND,01,VET1,AGEADJPREV,DISTYPE,SELFDIS,,
2020,GU,Guam,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by veteran status,Veteran,%,Age-adjusted Prevalence,13.8,13.8,,,9.2,20.2,46,2102,Disability Type,Cognitive Disability,,,DISEST,VETIND,66,VET1,AGEADJPREV,DISTYPE,COGDIS,,
2020,DC,District of Columbia,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by veteran status,Veteran,%,Age-adjusted Prevalence,,,*,Data suppressed,,,,,Disability Type,Hearing Disability,,,DISEST,VETIND,11,VET1,AGEADJPREV,DISTYPE,HEARDIS,,
2020,ME,Maine,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by veteran status,Non-Veteran,%,Age-adjusted Prevalence,73.5,73.5,,,71.8,75.1,6234,668307,Disability Status,No Disability,,,DISEST,VETIND,23,VET2,AGEADJPREV,DISSTAT,NODIS,,
2020,MO,Missouri,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by veteran status,Veteran,%,Age-adjusted Prevalence,32.6,32.6,,,28.3,37.3,526,223953,Disability Status,Any Disability,,,DISEST,VETIND,29,VET1,AGEADJPREV,DISSTAT,DISABL,,
2020,VA,Virginia,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by veteran status,Veteran,%,Age-adjusted Prevalence,76.0,76.0,,,72.0,79.5,978,656786,Disability Status,No Disability,,,DISEST,VETIND,51,VET1,AGEADJPREV,DISSTAT,NODIS,,
